,name,league,games_home,wins_home,draws_home,losses_home,goals_for_home,goals_against_home,goal_diff_home,points_home,points_avg_home,games_away,wins_away,draws_away,losses_away,goals_for_away,goals_against_away,goal_diff_away,points_away,points_avg_away,top_team_scorers,top_keeper
14,Newport County,League Two,19,9,7,3,20,13,+7,34,1.79,17,3,3,11,12,26,-14,12,12,Pádraig Amond - 8,Tom King
15,Cambridge Utd,League Two,18,7,3,8,23,27,-4,24,1.33,19,5,6,8,17,21,-4,21,21,"Harvey Knibbs, Sam Smith - 7",Dimitar Mitov
16,Leyton Orient,League Two,19,5,8,6,26,30,-4,23,1.21,17,5,4,8,21,25,-4,19,19,Josh Wright - 8,Dean Brill
17,Carlisle United,League Two,19,5,7,7,17,26,-9,22,1.16,18,5,5,8,22,30,-8,20,20,"Olufela Olomola, Harry McKirdy... - 5",Adam Collin
18,Oldham Athletic,League Two,18,6,7,5,28,21,+7,25,1.39,19,3,7,9,16,36,-20,16,16,Jonny Smith - 9,Zeus de la Paz
19,Scunthorpe Utd,League Two,19,6,6,7,24,25,-1,24,1.26,18,4,4,10,20,31,-11,16,16,Kevin van Veen - 10,Rory Watson
20,Mansfield Town,League Two,17,4,5,8,27,29,-2,17,1.00,19,5,6,8,21,26,-5,21,21,Nicky Maynard - 14,Conrad Logan
21,Macclesfield,League Two,18,5,9,4,19,17,+2,24,1.33,19,2,6,11,13,30,-17,12,12,Joe Ironside - 6,Owen Evans
22,Morecambe,League Two,18,4,8,6,20,23,-3,20,1.11,19,3,3,13,15,37,-22,12,12,"Cole Stockton, Lewis Alessandra - 5",Barry Roche
23,Stevenage,League Two,17,2,6,9,10,22,-12,12,0.71,19,1,7,11,14,28,-14,10,10,"Kurtis Guthrie, Charlie Carter - 5",Paul Farman
0,Coventry City,League One,17,11,5,1,22,11,+11,38,2.24,17,7,8,2,26,19,+7,29,29,Matthew Godden - 14,Marko Maroši
1,Rotherham Utd,League One,17,8,5,4,31,16,+15,29,1.71,18,10,3,5,30,22,+8,33,33,Freddie Ladapo - 14,Daniel Iversen
2,Oxford United,League One,17,11,3,3,33,13,+20,36,2.12,18,6,6,6,28,24,+4,24,24,Matty Taylor - 13,Simon Eastwood
3,Portsmouth,League One,18,12,6,0,36,15,+21,42,2.33,17,5,3,9,17,21,-4,18,18,Ronan Curtis - 11,Craig MacGillivray
4,Fleetwood Town,League One,18,10,7,1,25,13,+12,37,2.06,17,6,5,6,26,25,+1,23,23,Paddy Madden - 15,Alex Cairns
5,P'borough Utd,League One,17,12,3,2,41,13,+28,39,2.29,18,5,5,8,27,27,0,20,20,Ivan Toney - 24,Christy Pym
6,Sunderland,League One,19,10,8,1,35,13,+22,38,2.00,17,6,3,8,13,19,-6,21,21,Lynden Gooch - 11,Jon McLaughlin
7,Wycombe,League One,18,13,3,2,34,20,+14,42,2.33,16,4,5,7,11,20,-9,17,17,Adebayo Akinfenwa - 10,Ryan Allsop
8,Doncaster,League One,19,10,5,4,30,19,+11,35,1.84,15,5,4,6,21,14,+7,19,19,Kieran Sadlier - 11,Timothy Dieng
9,Ipswich Town,League One,17,6,5,6,23,18,+5,23,1.35,19,8,5,6,23,18,+5,29,29,"Kayden Jackson, James Norwood - 11",Tomáš Holý
10,Gillingham,League One,17,9,3,5,27,17,+10,30,1.76,18,3,12,3,15,17,-2,21,21,Alex Jakubiak - 6,Jack Bonham
