,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
36,Nigel Atangana\Nigel-Atangana,fr FRA,MF,Exeter City,29,1989,22,18,1478,1,0,0,0,1,1,0.06,0.00,0.06,0.06,0.06,Matches
37,Will Atkinson\Will-Atkinson,eng ENG,MFDF,Port Vale,30,1988,11,7,687,1,0,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
38,Odin Bailey\Odin-Bailey,eng ENG,MF,FG Rovers,19,1999,5,5,383,1,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,Matches
39,Ash Baker\Ash-Baker,wal WAL,DFMF,Newport County,22,1996,4,4,319,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
40,Tyreeq Bakinson\Tyreeq-Bakinson,eng ENG,MF,Plymouth Argyle,20,1998,14,12,1138,2,2,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
41,Jack Baldwin\Jack-Baldwin,eng ENG,MFDF,Salford City,26,1993,13,10,896,1,0,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches
42,Daniel Ballard\Daniel-Ballard,nir NIR,DF,Swindon Town,19,1999,1,0,2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Joshua Balogun\Joshua-Balogun,ng NGA,FW,Carlisle United,26,1992,5,3,332,3,0,1,1,0,0,0.81,0.00,0.81,0.54,0.54,Matches
44,Sacha Bastien\Sacha-Bastien,fr FRA,GK,Stevenage,24,1995,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
45,Alfie Bates\Alfie-Bates,eng ENG,MF,Walsall,,,13,9,914,1,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches
46,Mathieu Baudry\Mathieu-Baudry,fr FRA,DF,Swindon Town,31,1988,24,24,2018,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Jose Baxter\Jose-Baxter,eng ENG,MF,Plymouth Argyle,27,1992,9,3,384,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Jacob Bedeau\Jacob-Bedeau,eng ENG,DF,Scunthorpe Utd,19,1999,11,11,990,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
49,Jake Beesley\Jake-Beesley,eng ENG,MFFW,Salford City,22,1996,7,4,410,2,0,0,0,0,0,0.44,0.00,0.44,0.44,0.44,Matches
50,Alfie Beestin\Alfie-Beestin,eng ENG,FW,Scunthorpe Utd,21,1997,3,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Steven Benda\Steven-Benda,de GER,GK,Swindon Town,20,1998,24,24,2160,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Richie Bennett\Richie-Bennett,eng ENG,FW,Port Vale,28,1991,26,17,1506,6,3,1,1,1,0,0.36,0.18,0.54,0.30,0.48,Matches
53,Scot Bennett\Scot-Bennett,eng ENG,MFDF,Newport County,28,1990,28,25,2268,1,1,0,0,2,0,0.04,0.04,0.08,0.04,0.08,Matches
54,Malvind Benning\Malvind-Benning,eng ENG,MFDF,Mansfield Town,25,1993,33,30,2729,0,5,0,0,6,0,0.00,0.16,0.16,0.00,0.16,Matches
55,Josh Benson\Josh-Benson,eng ENG,MF,Grimsby Town,19,1999,11,8,779,2,2,0,0,1,0,0.23,0.23,0.46,0.23,0.46,Matches
56,Dominic Bernard\Dominic-Bernard,ie IRL,DFMF,FG Rovers,22,1997,28,25,2265,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
